,satisfaction_level,last_evaluation,number_project,average_monthly_hours,tenure,work_accident,left,promotion_last_5years,department,salary
3532,0.79,0.91,3,226,2,0,0,0,Human Resources,Low
3533,0.83,0.57,3,232,4,0,0,0,Human Resources,Medium
3534,0.73,0.6,3,137,3,0,0,0,Human Resources,Medium
3535,0.29,0.42,6,253,3,0,0,0,Human Resources,Medium
3536,0.8,0.7,6,231,4,0,0,0,Technical,Medium
3537,0.29,0.81,3,189,6,0,0,0,Technical,Low
3538,0.43,0.85,6,168,2,0,0,0,Technical,Low
3539,0.99,0.93,3,261,3,0,0,0,Technical,Low
3540,0.86,0.51,4,152,3,0,0,0,Technical,Low
3541,0.85,0.78,5,263,2,1,0,0,Technical,Low
3542,0.66,0.68,3,258,3,0,0,0,Technical,Low
3543,0.57,0.99,3,205,3,0,0,0,Technical,Low
3544,0.31,0.64,6,183,2,1,0,0,Technical,Low
3545,0.88,0.88,3,153,3,0,0,0,Technical,Low
3546,0.72,0.72,5,194,4,0,0,0,Technical,Low
3547,0.75,0.66,4,202,2,0,0,0,Support,Low
3548,0.82,0.71,4,164,4,0,0,0,Support,Low
3549,0.82,0.67,3,213,2,0,0,0,Support,Low
3550,0.15,0.52,4,265,6,0,0,0,Support,Low
3551,0.16,0.88,6,218,3,0,0,0,Support,Low
3552,0.95,0.4,5,286,4,0,0,0,Support,Low
3553,0.87,0.73,3,172,3,1,0,0,Support,Low
3554,0.85,0.89,4,251,2,0,0,0,Support,Low
3555,0.58,0.6,3,110,3,1,0,0,Support,Low
3556,0.63,0.86,3,269,4,0,0,0,Support,Low
3557,0.69,0.68,3,151,3,1,0,0,Support,Low
3558,0.53,0.85,5,161,2,0,0,0,Technical,Medium
3559,0.96,0.71,4,210,3,0,0,0,Technical,Medium
3560,0.73,0.83,2,167,3,0,0,0,Technical,Medium
3561,0.5,0.6,3,270,3,1,0,0,Management,Medium
3562,0.81,0.83,3,133,3,1,0,0,IT,Medium
3563,0.82,0.59,3,249,3,0,0,0,IT,Medium
3564,0.76,0.72,4,266,3,0,0,0,IT,Medium
3565,0.27,0.82,4,276,2,0,0,0,IT,Medium
3566,0.64,0.38,6,215,3,0,0,0,IT,Medium
3567,0.57,0.9,3,262,2,0,0,0,Product Management,Medium
3568,0.49,0.84,5,193,3,0,0,0,Product Management,Medium
3569,0.66,0.92,2,102,4,0,0,0,Product Management,Medium
3570,0.71,0.36,4,278,4,1,0,0,Product Management,High
3571,0.61,0.63,3,250,4,0,0,0,IT,Low
3572,0.52,0.89,5,193,4,0,0,0,Research and Development,Medium
3573,0.62,0.91,3,133,3,0,0,0,Research and Development,Medium
3574,0.98,0.65,4,216,4,0,0,0,Research and Development,Medium
3575,0.67,0.56,5,174,2,1,0,0,Research and Development,Medium
3576,0.85,0.62,2,280,4,0,0,0,Research and Development,Low
3577,0.84,0.85,4,246,2,0,0,0,Marketing,Low
3578,1.0,0.53,3,142,3,0,0,0,Sales,Low
3579,0.72,0.76,4,144,3,1,0,0,Accounting,Low
3580,0.66,0.75,6,100,4,1,0,0,Support,Low
3581,0.64,0.71,5,212,2,0,0,0,Technical,Low
3582,1.0,0.76,5,201,3,0,0,0,Management,Low
3583,0.75,0.59,5,206,2,0,0,0,Marketing,Low
3584,0.81,0.77,4,197,3,0,0,0,Marketing,Low
3585,0.31,0.98,5,232,5,0,0,0,Marketing,Low
3586,0.32,0.97,6,272,2,0,0,0,Sales,Low
3587,0.48,0.5,4,173,3,0,0,0,Sales,Low
3588,0.62,0.42,2,124,2,0,0,0,Sales,Low
3589,0.77,0.86,5,282,4,0,0,0,Sales,Low
3590,0.76,0.8,2,219,4,1,0,0,Sales,Low
3591,0.68,0.41,3,106,6,0,0,0,Sales,Low
3592,0.72,0.79,4,192,4,0,0,0,Sales,Low
3593,0.87,0.91,5,190,2,0,0,0,Sales,Low
3594,0.59,0.57,2,156,2,0,0,0,Sales,Low
3595,0.7,0.64,3,180,2,0,0,0,Sales,Low
3596,0.73,0.81,4,245,2,0,0,0,Sales,Low
3597,0.58,0.62,3,169,2,0,0,0,Sales,Medium
3598,0.64,0.66,3,188,4,0,0,0,Sales,Medium
3599,0.89,0.66,5,224,2,0,0,0,Sales,Medium
3600,0.95,0.71,3,263,2,1,0,0,Sales,Medium
3601,0.84,0.9,3,262,2,0,0,0,Sales,Medium
3602,0.6,0.99,4,225,3,0,0,0,Sales,Medium
3603,0.71,0.63,5,224,3,1,0,0,Sales,Medium
3604,0.6,0.95,3,266,3,0,0,0,Sales,Medium
3605,0.91,0.68,3,218,3,1,0,0,Accounting,Medium
3606,0.75,1.0,3,102,3,0,0,0,Accounting,Medium
3607,0.7,0.67,4,181,3,0,0,0,Accounting,Medium
3608,0.23,0.64,5,150,5,0,0,0,Human Resources,Medium
3609,0.73,0.83,4,270,2,0,0,0,Human Resources,High
3610,0.99,0.49,4,270,2,0,0,0,Human Resources,Low
3611,0.62,0.68,5,265,3,0,0,0,Human Resources,Medium
3612,0.98,0.89,4,169,3,0,0,0,Technical,Medium
3613,0.61,0.94,3,224,4,0,0,0,Technical,Medium
3614,0.52,0.92,3,150,2,1,0,0,Technical,Medium
3615,0.65,0.66,5,239,4,0,0,0,Technical,Low
3616,0.59,0.9,3,245,3,1,0,0,Technical,Low
3617,0.71,0.8,3,182,2,1,0,0,Technical,Low
3618,0.18,0.7,5,182,4,0,0,0,Technical,Low
3619,0.21,0.93,4,243,4,0,0,0,Technical,Low
3620,0.15,0.67,6,209,5,0,0,0,Technical,Low
3621,0.97,0.53,4,195,4,0,0,0,Technical,Low
3622,0.39,0.48,3,190,2,0,0,0,Technical,Low
3623,0.35,0.66,2,140,2,0,0,0,Support,Medium
3624,0.88,0.58,4,147,4,0,0,0,Support,Medium
3625,0.58,0.97,3,265,3,0,0,0,Support,Medium
3626,0.61,0.78,3,238,2,0,0,0,Support,Medium
3627,0.59,0.98,3,155,3,0,0,0,Support,Medium
3628,0.55,0.41,4,132,5,1,0,0,Support,Medium
3629,0.52,0.8,5,257,3,0,0,0,Support,Medium
3630,0.71,0.77,2,255,3,0,0,0,Support,Medium
3631,0.63,0.82,5,229,2,0,0,0,Support,Medium
3632,0.17,0.84,5,216,4,0,0,0,Support,Medium
3633,0.95,0.49,4,269,4,0,0,0,Support,Medium
3634,1.0,0.73,3,205,2,0,0,0,Technical,Medium
3635,0.73,0.96,2,151,3,0,0,0,Technical,Medium
3636,0.8,0.64,4,246,3,1,0,0,Technical,Medium
3637,0.63,0.8,4,256,4,0,0,0,Management,Medium
3638,0.95,0.59,4,235,3,0,0,0,IT,Medium
3639,0.75,0.83,4,229,2,0,0,0,IT,Medium
3640,0.64,0.72,5,158,3,0,0,0,IT,Medium
3641,0.72,1.0,3,197,3,0,0,0,IT,Medium
3642,0.72,0.53,3,151,4,0,0,0,IT,Medium
3643,0.85,0.63,3,167,3,0,0,0,Product Management,Medium
3644,0.24,0.94,4,146,4,0,0,0,Product Management,Medium
3645,0.69,0.53,4,281,4,0,0,0,Product Management,Medium
3646,0.69,0.7,3,212,2,0,0,0,Product Management,Medium
3647,0.87,0.59,5,261,3,0,0,0,IT,Medium
3648,0.78,0.91,3,238,2,0,0,0,Research and Development,High
3649,0.76,0.74,4,235,3,0,0,0,Research and Development,High
3650,0.35,0.7,3,107,3,0,0,0,Research and Development,High
3651,0.88,0.59,6,243,4,0,0,0,Research and Development,High
3652,0.78,0.79,5,233,3,1,0,0,Research and Development,High
3653,0.36,0.42,3,206,5,0,0,0,Marketing,High
3654,0.24,0.7,5,172,4,0,0,0,Sales,High
3655,0.55,0.82,3,248,2,0,0,0,Accounting,High
3656,0.91,0.53,3,147,4,1,0,0,Support,High
3657,0.66,0.61,5,259,3,0,0,0,Technical,High
3658,0.57,0.82,3,267,3,0,0,0,Management,High
3659,0.64,0.64,3,263,3,0,0,0,Marketing,High
3660,0.63,0.98,3,160,4,1,0,0,Marketing,Low
3661,0.49,0.92,5,176,3,0,0,0,Marketing,Low
3662,0.7,0.7,3,224,3,0,0,0,Sales,Low
3663,0.3,0.71,3,155,2,0,0,0,Sales,Low
3664,0.51,0.52,3,132,3,0,0,0,Sales,Low
3665,0.71,0.87,5,173,3,0,0,0,Sales,Low
3666,0.64,0.67,3,165,3,0,0,0,Sales,Low
3667,0.67,0.66,6,272,3,0,0,0,Sales,Low
3668,0.83,0.94,5,156,3,1,0,0,Sales,Low
3669,0.92,0.96,3,154,2,1,0,0,Sales,Low
3670,0.84,0.53,3,237,3,1,0,0,Sales,Low
3671,0.97,0.75,2,271,6,0,0,0,Sales,Low
3672,0.19,0.91,6,152,3,0,0,0,Sales,Low
3673,0.86,0.51,4,152,3,1,0,0,Sales,Low
3674,0.71,0.69,3,172,3,0,0,0,Sales,Low
3675,0.76,0.56,4,214,2,1,0,0,Sales,Medium
3676,0.68,0.88,5,201,3,0,0,0,Sales,Medium
3677,0.61,0.99,2,275,3,1,0,0,Sales,Medium
3678,0.85,0.79,3,156,3,0,0,0,Sales,Medium
3679,0.84,0.89,3,234,2,0,0,0,Sales,Medium
3680,0.62,0.63,2,123,2,0,0,0,Sales,Medium
3681,0.77,0.76,3,201,4,0,0,0,Accounting,Medium
3682,0.79,0.93,5,160,4,1,0,0,Accounting,Medium
3683,0.97,0.5,3,173,2,0,0,0,Accounting,Medium
3684,0.59,0.61,4,141,2,1,0,0,Human Resources,Medium
3685,0.93,0.62,3,231,6,0,0,0,Human Resources,Medium
3686,0.85,0.54,4,174,2,0,0,0,Human Resources,Medium
3687,0.7,0.57,4,211,3,0,0,0,Human Resources,High
3688,0.54,0.91,3,249,3,0,0,0,Technical,High
3689,0.42,0.86,2,108,5,0,0,0,Technical,High
3690,0.96,0.75,4,165,3,0,0,0,Technical,High
3691,0.58,0.8,3,181,4,0,0,0,Technical,High
3692,0.61,0.59,3,237,2,0,0,0,Technical,High
3693,0.62,0.97,5,180,2,0,0,0,Technical,High
3694,0.68,0.7,3,209,3,0,0,0,Technical,High
3695,0.6,0.73,3,191,5,1,0,0,Technical,Low
3696,0.7,0.91,4,181,2,1,0,0,Technical,Low
3697,0.65,0.55,4,250,2,0,0,0,Technical,Low
3698,0.48,0.59,2,179,2,0,0,0,Technical,Low
3699,0.75,0.73,3,225,4,0,0,0,Support,Low
3700,0.69,0.78,5,267,2,1,0,0,Support,Low
3701,0.34,0.46,2,169,2,1,0,0,Support,Low
3702,0.59,0.49,4,164,3,0,0,0,Support,Low
3703,0.94,0.95,4,155,3,0,0,0,Support,Medium
3704,0.98,0.77,5,223,2,1,0,0,Support,Medium
3705,0.72,0.66,3,160,3,0,0,0,Support,Medium
3706,0.79,0.7,4,268,2,0,0,0,Support,Medium
3707,0.54,0.61,4,151,4,1,0,0,Support,Medium
3708,0.73,0.95,3,156,2,0,0,0,Support,Medium
3709,0.82,0.58,4,136,3,0,0,0,Support,Medium
3710,0.57,0.45,3,189,2,0,0,0,Technical,Medium
3711,0.98,0.93,5,203,2,0,0,0,Technical,Medium
3712,0.91,0.65,5,174,2,0,0,0,Technical,Medium
3713,0.72,0.91,3,239,2,0,0,0,Management,Medium
3714,0.48,0.73,5,152,6,0,0,0,IT,Medium
3715,0.57,0.86,4,268,6,0,0,0,IT,Medium
3716,0.86,0.96,4,146,3,0,0,0,IT,Medium
3717,0.63,0.85,3,232,4,0,0,0,IT,Medium
3718,0.81,0.52,3,255,5,0,0,0,IT,Medium
3719,0.21,0.37,4,129,4,0,0,0,Product Management,Medium
3720,0.9,0.66,3,261,3,1,0,0,Product Management,Medium
3721,0.79,0.78,3,101,2,1,0,0,Product Management,Medium
3722,0.95,0.49,4,229,3,0,0,0,Product Management,Medium
3723,0.29,0.43,3,162,4,0,0,0,IT,Medium
3724,0.81,0.52,4,270,3,0,0,0,Research and Development,Medium
3725,0.21,0.56,6,277,5,0,0,0,Research and Development,Medium
3726,0.7,0.83,5,261,4,0,0,0,Research and Development,High
3727,0.66,0.64,4,204,2,0,0,0,Research and Development,Low
3728,0.16,0.86,2,215,2,0,0,0,Research and Development,Medium
3729,0.72,0.8,3,219,3,0,0,0,Marketing,Medium
3730,0.51,0.5,3,147,4,0,0,0,Sales,Medium
3731,0.59,0.63,5,243,2,0,0,0,Accounting,Medium
3732,0.66,0.4,2,155,5,1,0,0,Support,Medium
3733,0.69,0.84,3,253,2,0,0,0,Technical,Medium
3734,0.69,0.94,4,235,3,0,0,0,Management,Medium
3735,0.89,0.79,5,257,3,0,0,0,Marketing,Medium
3736,0.52,0.56,4,225,2,0,0,0,Marketing,Medium
3737,0.91,0.91,3,167,3,0,0,0,Marketing,Medium
3738,0.96,0.53,5,224,4,0,0,0,Sales,Low
3739,0.8,0.58,5,127,3,0,0,0,Sales,Low
3740,0.55,0.77,3,256,3,1,0,0,Sales,Low
3741,0.93,0.63,4,233,2,0,0,0,Sales,Low
3742,0.93,0.86,4,169,4,0,0,0,Sales,Low
3743,0.54,0.48,3,152,2,0,0,0,Sales,Low
3744,0.48,0.76,5,236,2,0,0,0,Sales,Low
3745,0.19,0.99,3,154,2,0,0,0,Sales,High
3746,0.95,0.71,3,223,2,0,0,0,Sales,Low
3747,0.96,0.81,4,211,3,0,0,0,Sales,High
3748,0.63,0.89,4,192,2,0,0,0,Sales,High
3749,0.81,0.8,4,227,2,1,0,0,Sales,Low
3750,0.5,0.88,4,265,3,1,0,0,Sales,Low
3751,0.76,0.72,5,228,2,0,0,0,Sales,High
3752,0.84,0.49,4,152,3,0,0,0,Sales,Low
3753,0.2,0.95,5,169,5,0,0,0,Sales,Medium
3754,0.78,0.92,3,169,3,0,0,0,Sales,High
3755,0.8,0.68,4,157,3,0,0,0,Sales,Medium
3756,0.94,0.57,4,251,2,1,0,0,Sales,Medium
3757,0.44,0.74,5,253,2,0,0,0,Accounting,Medium
3758,0.92,0.85,3,155,2,0,0,0,Accounting,Medium
3759,0.54,0.8,3,232,2,0,0,0,Accounting,High
3760,0.56,0.56,4,195,2,0,0,0,Human Resources,Medium
3761,0.66,0.69,4,198,3,1,0,0,Human Resources,Medium
3762,0.8,0.91,3,246,3,0,0,0,Human Resources,Medium
3763,0.6,0.81,2,214,3,0,0,0,Human Resources,High
3764,0.73,0.73,5,249,3,0,0,0,Technical,Medium
3765,0.55,0.74,3,211,3,1,0,0,Technical,High
3766,0.7,0.71,5,269,3,0,0,0,Technical,Low
3767,0.53,0.68,4,214,3,0,0,0,Technical,Medium
3768,0.9,0.94,4,231,3,0,0,0,Technical,Medium
3769,0.8,0.78,3,175,3,0,0,0,Technical,Medium
3770,0.51,0.6,5,175,3,0,0,0,Technical,Medium
3771,0.86,0.96,5,238,5,0,0,0,Technical,Low
3772,0.63,0.79,4,228,4,0,0,0,Technical,Low
3773,0.83,0.93,3,220,4,0,0,0,Technical,Low
3774,0.85,0.55,4,233,2,1,0,0,Technical,Low
3775,0.8,0.57,3,225,4,0,0,0,Support,Low
3776,0.79,0.97,5,187,3,0,0,0,Support,Low
3777,0.37,0.71,3,117,3,0,0,0,Support,Low
3778,0.85,0.9,3,184,3,1,0,0,Support,Low
3779,0.76,0.56,3,216,3,0,0,0,Support,Low
3780,0.99,0.62,4,140,2,1,0,0,Support,Low
3781,0.55,0.63,3,201,2,1,0,0,Support,High
3782,0.69,0.69,4,167,3,1,0,0,Support,Low
3783,0.68,1.0,5,203,2,0,0,0,Support,Low
3784,0.69,0.9,5,231,2,1,0,0,Support,Low
3785,0.65,0.7,3,141,4,0,0,0,Support,Low
3786,0.17,0.88,6,226,3,1,0,0,Technical,High
3787,0.48,0.65,3,199,2,0,0,0,Technical,Low
3788,0.65,0.59,4,192,3,0,0,0,Technical,Low
3789,0.57,0.49,4,247,2,0,0,0,Management,Low
3790,0.8,0.67,3,164,3,0,0,0,IT,High
3791,0.8,0.6,5,234,2,0,0,0,IT,Low
3792,0.5,0.6,2,177,3,1,0,0,IT,Medium
3793,0.95,0.87,3,208,2,0,0,0,IT,High
3794,0.69,0.93,3,233,3,0,0,0,IT,Medium
3795,0.74,0.57,4,172,3,0,0,0,Product Management,High
3796,0.68,0.59,3,141,3,0,0,0,Product Management,Medium
3797,0.68,0.55,3,213,3,0,0,0,Product Management,Medium
3798,0.65,0.37,5,128,3,1,0,0,Product Management,Medium
3799,0.85,0.92,4,151,3,1,0,0,IT,Medium
3800,0.49,0.48,4,247,3,0,0,0,Research and Development,Medium
3801,0.19,0.8,6,143,4,0,0,0,Research and Development,Medium
3802,0.95,0.61,3,164,3,0,0,0,Research and Development,Medium
3803,0.63,0.62,3,183,3,0,0,0,Research and Development,Medium
3804,0.83,0.8,4,274,3,0,0,0,Research and Development,High
3805,0.62,0.78,4,261,2,0,0,0,Marketing,Low
3806,0.74,0.98,5,200,3,0,0,0,Sales,Medium
3807,0.7,0.87,5,177,2,0,0,0,Accounting,Medium
3808,0.28,0.38,5,139,4,0,0,0,Support,Medium
3809,0.39,0.56,6,228,5,0,0,0,Technical,Medium
3810,0.62,0.63,3,230,2,0,0,0,Management,Medium
3811,0.79,0.54,5,212,4,0,0,0,Marketing,Medium
3812,0.87,0.74,4,265,4,0,0,0,Marketing,Medium
3813,0.29,0.75,3,124,4,0,0,0,Marketing,Medium
3814,0.37,0.88,4,155,3,0,0,0,Sales,Medium
3815,0.68,0.55,4,215,4,0,0,0,Sales,High
3816,0.9,0.51,4,214,2,0,0,0,Sales,Low
3817,0.97,0.65,3,181,3,0,0,0,Sales,Low
3818,0.6,0.77,4,229,2,0,0,0,Sales,Low
3819,0.58,0.79,5,262,2,0,0,0,Sales,High
3820,0.83,0.86,3,165,3,0,0,0,Sales,Low
3821,0.83,0.73,5,136,3,0,0,0,Sales,Low
3822,0.94,0.71,4,151,2,1,0,0,Sales,Low
3823,0.69,0.9,5,226,4,0,0,0,Sales,High
3824,0.81,0.81,5,215,2,0,0,0,Sales,Low
3825,0.19,0.5,6,143,5,1,0,0,Sales,Low
3826,0.18,0.64,3,223,4,1,0,0,Sales,Low
3827,0.58,0.63,4,271,3,0,0,0,Sales,Low
3828,0.76,0.65,3,220,3,0,0,0,Sales,Low
3829,0.26,0.47,6,182,4,0,0,0,Sales,Low
3830,0.78,0.87,3,190,3,0,0,0,Sales,Low
3831,0.71,0.56,3,198,3,0,0,0,Sales,Medium
3832,0.76,0.61,3,141,2,0,0,0,Sales,Medium
3833,0.44,0.81,3,248,2,0,0,0,Accounting,Medium
3834,0.26,0.69,2,168,5,0,0,0,Accounting,Medium
3835,0.75,0.57,5,162,3,0,0,0,Accounting,Medium
3836,0.64,0.9,4,211,3,0,0,0,Human Resources,Medium
3837,0.79,0.71,4,271,3,0,0,0,Human Resources,Medium
3838,0.96,0.61,3,271,2,0,0,0,Human Resources,Medium
3839,0.63,1.0,5,244,2,0,0,0,Human Resources,Medium
3840,0.65,0.55,5,261,3,1,0,0,Technical,Medium
3841,0.76,0.81,3,225,3,0,0,0,Technical,Medium
3842,0.26,0.9,4,266,5,0,0,0,Technical,Medium
3843,0.84,0.73,3,146,5,1,0,0,Technical,High
3844,0.74,0.77,3,233,3,0,0,0,Technical,Low
3845,0.53,0.45,4,180,3,0,0,0,Technical,Medium
3846,0.7,0.56,5,208,3,0,0,0,Technical,Medium
3847,0.62,0.69,4,165,4,1,0,0,Technical,Medium
3848,0.71,0.68,4,221,4,0,0,0,Technical,Medium
3849,0.5,0.65,3,215,2,0,0,0,Technical,Low
3850,0.53,0.5,6,264,6,0,0,0,Technical,Low
3851,0.88,0.89,2,160,4,0,0,0,Support,Low
3852,0.79,0.83,2,192,3,0,0,0,Support,Low
3853,0.69,0.89,5,201,2,0,0,0,Support,Low
3854,0.57,0.96,4,264,2,0,0,0,Support,Low
3855,0.68,0.8,4,186,3,1,0,0,Support,Low
3856,0.6,0.82,4,272,3,0,0,0,Support,Low
3857,0.7,0.9,4,216,3,0,0,0,Support,Low
3858,0.71,0.76,4,142,2,1,0,0,Support,Low
3859,0.49,0.51,4,133,3,0,0,0,Support,Low
3860,0.74,0.7,4,260,2,0,0,0,Support,Low
3861,0.2,0.93,4,101,5,0,0,0,Support,Low
3862,0.57,0.5,4,230,2,0,0,0,Technical,Low
3863,0.83,0.48,3,242,4,0,0,0,Technical,Low
3864,0.22,0.64,3,193,2,0,0,0,Technical,Low
3865,0.67,0.57,2,234,4,0,0,0,Management,Low
3866,0.54,0.84,3,132,3,0,0,0,IT,Low
3867,0.54,0.53,4,183,3,0,0,0,IT,Low
3868,0.64,0.61,4,191,4,0,0,0,IT,Low
3869,0.23,0.84,5,140,4,0,0,0,IT,Low
3870,0.88,0.87,5,257,3,0,0,0,IT,Medium
3871,0.83,0.54,4,219,3,0,0,0,Product Management,Medium
3872,0.88,0.67,5,141,2,0,0,0,Product Management,Medium
3873,0.9,0.85,5,162,2,0,0,0,Product Management,Medium
3874,0.49,0.61,3,181,3,0,0,0,Product Management,Medium
3875,0.55,0.49,3,191,3,0,0,0,IT,Medium
3876,0.92,0.69,4,149,6,1,0,0,Research and Development,Medium
3877,0.72,0.67,3,164,4,0,0,0,Research and Development,Medium
3878,0.63,0.5,4,235,3,0,0,0,Research and Development,Medium
3879,0.98,0.66,3,199,3,0,0,0,Research and Development,Medium
3880,0.76,0.52,3,248,3,0,0,0,Research and Development,Medium
3881,0.42,0.56,2,103,3,1,0,0,Marketing,Medium
3882,0.58,0.65,4,248,4,0,0,0,Marketing,High
3883,0.85,0.82,3,153,3,1,0,0,Sales,Low
3884,0.67,0.95,4,241,4,0,0,0,Accounting,Medium
3885,0.58,1.0,4,258,3,0,0,0,Support,Medium
3886,0.84,0.76,5,172,5,1,0,0,Technical,Medium
3887,0.56,0.68,3,149,2,0,0,0,Management,Medium
3888,0.63,0.83,4,217,3,0,0,0,Marketing,Low
3889,0.51,0.92,3,243,3,0,0,0,Marketing,Low
3890,0.95,0.81,5,120,3,0,0,0,Marketing,Low
3891,0.85,0.55,3,137,3,1,0,0,Sales,Low
3892,0.73,0.78,5,150,3,0,0,0,Sales,Low
3893,0.2,0.49,5,199,5,0,0,0,Sales,Low
3894,0.78,0.79,3,203,2,0,0,0,Sales,Low
3895,0.83,0.8,3,273,3,0,0,0,Sales,Low
3896,0.87,0.56,2,214,3,1,0,0,Sales,Low
3897,0.98,0.99,5,141,3,0,0,0,Sales,Low
3898,1.0,0.81,5,243,3,0,0,0,Sales,Low
3899,0.7,0.55,4,159,3,0,0,0,Sales,Low
3900,0.62,0.88,5,146,3,0,0,0,Sales,Low
3901,0.67,0.72,4,159,2,0,0,0,Sales,Low
3902,0.86,0.96,4,196,3,0,0,0,Sales,Low
3903,0.44,0.57,5,183,2,1,0,0,Sales,Low
3904,0.19,0.86,4,192,4,0,0,0,Sales,Low
3905,0.76,0.83,4,246,2,0,0,0,Sales,Low
3906,0.89,0.93,5,191,4,0,0,0,Sales,Low
3907,0.25,0.97,3,158,3,0,0,0,Sales,Low
3908,0.68,1.0,4,167,2,0,0,0,Sales,Low
3909,0.38,0.5,2,187,2,1,0,0,Sales,Medium
3910,0.64,0.95,4,199,4,0,0,0,Accounting,Medium
3911,0.76,0.62,4,157,3,0,0,0,Accounting,Medium
3912,0.26,0.45,2,157,3,0,0,0,Accounting,Medium
3913,0.69,0.67,3,178,2,0,0,0,Human Resources,Medium
3914,0.98,0.66,3,154,2,0,0,0,Human Resources,Medium
3915,0.86,0.83,5,208,2,1,0,0,Human Resources,Medium
3916,0.14,0.68,4,273,5,1,0,0,Human Resources,Medium
3917,0.58,0.63,4,159,3,0,0,0,Technical,Medium
3918,0.63,0.97,4,234,2,0,0,0,Technical,Medium
3919,0.7,0.91,5,139,3,1,0,0,Technical,Medium
3920,0.73,0.62,4,210,4,0,0,0,Technical,Medium
3921,0.89,0.52,3,164,3,0,0,0,Technical,High
3922,0.17,0.61,3,241,5,1,0,0,Technical,Low
3923,0.86,0.73,5,259,2,0,0,0,Technical,Medium
3924,0.59,0.73,3,159,3,1,0,0,Technical,Medium
3925,0.22,0.51,4,131,2,0,0,0,Technical,Medium
3926,0.55,0.57,3,266,2,0,0,0,Technical,Medium
3927,0.74,0.6,3,153,2,0,0,0,Technical,Low
3928,0.55,0.54,3,253,2,0,0,0,Support,Low
3929,0.67,0.94,4,141,2,1,0,0,Support,Low
3930,0.64,0.8,3,199,3,0,0,0,Support,Low
3931,0.58,0.71,3,205,3,0,0,0,Support,Low
3932,0.9,0.6,4,252,3,0,0,0,Support,Low
3933,0.89,0.9,4,153,3,0,0,0,Support,Low
3934,0.74,0.37,2,171,4,0,0,0,Support,Low
3935,0.78,0.91,5,150,4,0,0,0,Support,Low
3936,0.97,0.53,4,247,3,0,0,0,Support,Low
3937,0.52,0.92,4,150,2,1,0,0,Support,Low
3938,0.99,0.86,4,206,2,0,0,0,Support,Low
3939,0.76,0.44,4,192,4,1,0,0,Technical,Low
3940,0.69,0.96,5,164,3,0,0,0,Technical,Low
3941,0.59,0.69,3,186,3,0,0,0,Technical,Low
3942,0.95,0.63,3,249,3,0,0,0,Management,Low
3943,0.69,0.81,3,214,2,0,0,0,IT,Low
3944,0.76,0.75,4,193,4,0,0,0,IT,Low
3945,0.7,0.84,2,114,4,0,0,0,IT,Low
3946,0.87,0.6,2,122,2,0,0,0,IT,Low
3947,0.44,0.55,3,170,3,1,0,0,IT,Low
3948,0.54,0.91,3,151,3,0,0,0,Product Management,Medium
3949,0.55,0.75,3,156,3,0,0,0,Product Management,Medium
3950,0.81,0.75,5,170,3,1,0,0,Product Management,Medium
3951,0.5,0.55,3,188,2,0,0,0,Product Management,Medium
3952,0.93,0.74,4,201,3,1,0,0,IT,Medium
3953,0.64,0.5,6,254,6,0,0,0,Research and Development,Medium
3954,0.57,0.78,3,206,4,0,0,0,Research and Development,Medium
3955,0.95,0.74,4,216,3,0,0,0,Research and Development,Medium
3956,0.86,0.67,5,200,3,0,0,0,Research and Development,Medium
3957,0.82,0.58,4,202,2,0,0,0,Research and Development,Medium
3958,0.18,0.79,4,217,4,0,0,0,Research and Development,Medium
3959,0.58,0.7,5,151,4,0,0,0,Marketing,Medium
3960,0.57,0.56,3,224,2,0,0,0,Sales,High
3961,0.94,0.83,5,148,3,0,0,0,Accounting,Low
3962,0.2,0.97,6,224,5,1,0,0,Support,Medium
3963,0.73,0.75,2,243,5,1,0,0,Technical,Medium
3964,0.94,0.8,4,238,3,1,0,0,Management,Medium
3965,0.99,0.61,3,254,3,0,0,0,Marketing,Medium
3966,0.22,0.49,4,218,4,0,0,0,Marketing,Low
3967,0.67,0.66,3,237,3,0,0,0,Marketing,Low
3968,0.49,0.67,4,185,2,0,0,0,Sales,Low
3969,0.78,0.95,4,184,3,0,0,0,Sales,Low
3970,0.15,0.74,2,176,3,1,0,0,Sales,Low
3971,0.91,0.89,4,260,3,0,0,0,Sales,Low
3972,0.7,0.78,4,254,4,0,0,0,Sales,Low
3973,0.6,0.95,3,221,3,0,0,0,Sales,Low
3974,0.59,0.57,5,257,2,0,0,0,Sales,Low
3975,0.59,0.93,3,265,3,1,0,0,Sales,Low
3976,0.55,0.64,3,138,3,1,0,0,Sales,Low
3977,0.42,0.75,3,163,2,1,0,0,Sales,Low
3978,0.57,0.81,3,144,3,0,0,0,Sales,Low
3979,0.72,0.51,3,146,2,1,0,0,Sales,Low
3980,0.83,0.81,3,242,6,0,0,0,Sales,Low
3981,0.89,0.93,4,249,3,0,0,0,Sales,Low
3982,0.55,0.59,3,245,3,0,0,0,Sales,Low
3983,0.53,0.75,4,201,2,0,0,0,Sales,Low
3984,0.74,0.59,4,177,4,1,0,0,Sales,Medium
3985,0.63,0.98,4,160,2,0,0,0,Sales,Medium
3986,0.63,0.4,6,177,2,1,0,0,Sales,Medium
3987,0.61,0.97,4,153,3,0,0,0,Accounting,Medium
3988,0.76,0.79,3,197,5,0,0,0,Accounting,Medium
